year,city,country,avg_temp
1743,Warsaw,Poland,3.43
1744,Warsaw,Poland,9.31
1745,Warsaw,Poland,-1.27
1746,Warsaw,Poland,
1747,Warsaw,Poland,
1748,Warsaw,Poland,
1749,Warsaw,Poland,
1750,Warsaw,Poland,8.27
1751,Warsaw,Poland,8.23
1752,Warsaw,Poland,2.58
1753,Warsaw,Poland,7.17
1754,Warsaw,Poland,7.08
1755,Warsaw,Poland,6.91
1756,Warsaw,Poland,7.88
1757,Warsaw,Poland,7.69
1758,Warsaw,Poland,6.26
1759,Warsaw,Poland,7.33
1760,Warsaw,Poland,6.90
1761,Warsaw,Poland,7.80
1762,Warsaw,Poland,7.21
1763,Warsaw,Poland,6.74
1764,Warsaw,Poland,7.59
1765,Warsaw,Poland,7.32
1766,Warsaw,Poland,7.44
1767,Warsaw,Poland,6.76
1768,Warsaw,Poland,6.22
1769,Warsaw,Poland,7.01
1770,Warsaw,Poland,7.12
1771,Warsaw,Poland,6.12
1772,Warsaw,Poland,7.66
1773,Warsaw,Poland,8.13
1774,Warsaw,Poland,7.25
1775,Warsaw,Poland,8.60
1776,Warsaw,Poland,7.06
1777,Warsaw,Poland,6.84
1778,Warsaw,Poland,8.00
1779,Warsaw,Poland,8.67
1780,Warsaw,Poland,7.00
1781,Warsaw,Poland,8.08
1782,Warsaw,Poland,6.77
1783,Warsaw,Poland,7.99
1784,Warsaw,Poland,6.88
1785,Warsaw,Poland,5.64
1786,Warsaw,Poland,6.16
1787,Warsaw,Poland,7.69
1788,Warsaw,Poland,6.74
1789,Warsaw,Poland,8.16
1790,Warsaw,Poland,7.67
1791,Warsaw,Poland,8.34
1792,Warsaw,Poland,7.27
1793,Warsaw,Poland,7.59
1794,Warsaw,Poland,8.19
1795,Warsaw,Poland,7.18
1796,Warsaw,Poland,7.41
1797,Warsaw,Poland,9.08
1798,Warsaw,Poland,7.98
1799,Warsaw,Poland,5.17
1800,Warsaw,Poland,7.06
1801,Warsaw,Poland,8.50
1802,Warsaw,Poland,8.14
1803,Warsaw,Poland,6.32
1804,Warsaw,Poland,6.74
1805,Warsaw,Poland,5.80
1806,Warsaw,Poland,8.30
1807,Warsaw,Poland,8.18
1808,Warsaw,Poland,6.68
1809,Warsaw,Poland,6.95
1810,Warsaw,Poland,6.91
1811,Warsaw,Poland,8.38
1812,Warsaw,Poland,5.89
1813,Warsaw,Poland,7.05
1814,Warsaw,Poland,6.17
1815,Warsaw,Poland,6.34
1816,Warsaw,Poland,6.57
1817,Warsaw,Poland,7.42
1818,Warsaw,Poland,7.40
1819,Warsaw,Poland,7.69
1820,Warsaw,Poland,6.52
1821,Warsaw,Poland,7.28
1822,Warsaw,Poland,8.41
1823,Warsaw,Poland,7.04
1824,Warsaw,Poland,8.13
1825,Warsaw,Poland,7.59
1826,Warsaw,Poland,7.80
1827,Warsaw,Poland,7.95
1828,Warsaw,Poland,6.99
1829,Warsaw,Poland,4.94
1830,Warsaw,Poland,6.89
1831,Warsaw,Poland,7.21
1832,Warsaw,Poland,6.07
1833,Warsaw,Poland,7.47
1834,Warsaw,Poland,8.64
1835,Warsaw,Poland,7.00
1836,Warsaw,Poland,7.53
1837,Warsaw,Poland,6.55
1838,Warsaw,Poland,5.46
1839,Warsaw,Poland,6.92
1840,Warsaw,Poland,5.90
1841,Warsaw,Poland,7.85
1842,Warsaw,Poland,6.58
1843,Warsaw,Poland,7.86
1844,Warsaw,Poland,6.11
1845,Warsaw,Poland,6.46
1846,Warsaw,Poland,8.08
1847,Warsaw,Poland,6.56
1848,Warsaw,Poland,7.66
1849,Warsaw,Poland,6.36
1850,Warsaw,Poland,6.90
1851,Warsaw,Poland,7.42
1852,Warsaw,Poland,7.59
